solver_type,test_type,n_mpi,n_threads,total_cores,n_refinements,poly_degree,n_dofs,n_cells,setup_time,assembly_time,solve_time,total_time,n_iterations,l2_error,memory_mb,dofs_per_second,parallel_efficiency
matrix_based,time_complexity,4,7,28,2,2,81,16,0.950493,0.042119,1.375888,2.393401,8,0.001927,0.006886,33.843058,0.000000
matrix_free,time_complexity,4,7,28,2,2,81,0,1.904446,0.007007,3.055198,4.975386,5,0.001602,0.057734,16.280144,0.000000
matrix_based,time_complexity,4,7,28,3,2,289,64,1.255195,0.035020,1.914971,3.226266,9,0.000245,0.015408,89.577232,0.000000
matrix_free,time_complexity,4,7,28,3,2,289,0,2.740550,0.010310,4.592208,7.353607,6,0.000205,0.073706,39.300443,0.000000
matrix_based,time_complexity,4,7,28,4,2,1089,256,1.541781,0.020965,2.509976,4.091521,9,0.000031,0.040401,266.160168,0.000000
matrix_free,time_complexity,4,7,28,4,2,1089,0,3.733032,0.007913,5.634348,9.384525,6,0.000026,0.099124,116.042096,0.000000
matrix_based,time_complexity,4,7,28,5,2,4225,1024,1.738624,0.036889,3.167987,4.964402,10,0.000004,0.124355,851.059205,0.000000
matrix_free,time_complexity,4,7,28,5,2,4225,0,4.759376,0.008877,6.838271,11.618638,6,0.000003,0.161565,363.639878,0.000000
matrix_based,time_complexity,4,7,28,6,2,16641,4096,2.012181,2.353541,4.226955,8.617401,11,0.000000,0.430294,1931.092622,0.000000
matrix_free,time_complexity,4,7,28,6,2,16641,0,6.011480,0.008711,8.529508,14.558527,6,0.000000,0.368519,1143.041450,0.000000
matrix_based,time_complexity,4,7,28,7,2,66049,16384,2.564754,0.173651,4.739978,7.531881,11,0.000000,1.592678,8769.257068,0.000000
matrix_free,time_complexity,4,7,28,7,2,66049,0,7.378587,0.033490,10.325885,17.755320,6,0.000000,1.144189,3719.955441,0.000000
matrix_based,time_complexity,4,7,28,8,2,263169,65536,3.306770,0.534625,6.370999,10.400527,11,0.000000,6.120296,25303.430083,0.000000
matrix_free,time_complexity,4,7,28,8,2,263169,0,9.244823,0.091529,12.215372,21.587498,6,0.000000,4.178875,12190.806107,0.000000
matrix_based,time_complexity,4,7,28,9,2,1050625,262144,7.035791,2.045966,9.979974,19.826442,11,0.000000,23.987759,52991.100691,0.000000
matrix_free,time_complexity,4,7,28,9,2,1050625,0,12.821169,0.287589,15.195849,28.399576,6,0.000000,16.218076,36994.390348,0.000000
matrix_based,time_complexity,4,7,28,10,2,4198401,1048576,20.118857,10.344633,28.498964,61.920557,12,0.000000,94.972408,67803.024061,0.000000
matrix_free,time_complexity,4,7,28,10,2,4198401,0,22.179306,1.033217,31.608176,55.190592,6,0.000000,64.212212,76070.954266,0.000000
